sample_set,from,to,presence
T0_R1_z609770187651124,floral,mouth-drying,0
T0_R1_z609770187651124,floral,apricot,1
T0_R1_z609770187651124,floral,tropical,1
T0_R1_z609770187651124,floral,dried,0
T0_R1_z609770187651124,floral,floral,0
T0_R1_z609770187651124,floral,dark wood,0
T0_R1_z609770187651124,floral,dusty,0
T0_R1_z609770187651124,floral,musty,0
T0_R1_z609770187651124,floral,dirty animal / farmyard,0
T0_R1_z609770187651124,floral,leather,0
T0_R1_z609770187651124,floral,over-fermented,0
T0_R1_z609770187651124,floral,rotten fruit,0
T0_R1_z609770187651124,dark wood,roast degree,1
T0_R1_z609770187651124,dark wood,fruity,0
T0_R1_z609770187651124,dark wood,lactic,0
T0_R1_z609770187651124,dark wood,mineral,0
T0_R1_z609770187651124,dark wood,mouth-drying,0
T0_R1_z609770187651124,dark wood,apricot,0
T0_R1_z609770187651124,dark wood,tropical,0
T0_R1_z609770187651124,dark wood,dried,1
T0_R1_z609770187651124,dark wood,floral,0
T0_R1_z609770187651124,dark wood,dark wood,0
T0_R1_z609770187651124,dark wood,dusty,0
T0_R1_z609770187651124,dark wood,musty,0
T0_R1_z609770187651124,dark wood,dirty animal / farmyard,0
T0_R1_z609770187651124,dark wood,leather,0
T0_R1_z609770187651124,dark wood,over-fermented,0
T0_R1_z609770187651124,dark wood,rotten fruit,0
T0_R1_z609770187651124,dusty,roast degree,0
T0_R1_z609770187651124,dusty,fruity,0
T0_R1_z609770187651124,dusty,lactic,1
T0_R1_z609770187651124,dusty,mineral,0
T0_R1_z609770187651124,dusty,mouth-drying,0
T0_R1_z609770187651124,dusty,apricot,0
T0_R1_z609770187651124,dusty,tropical,0
T0_R1_z609770187651124,dusty,dried,0
T0_R1_z609770187651124,dusty,floral,0
T0_R1_z609770187651124,dusty,dark wood,0
T0_R1_z609770187651124,dusty,dusty,0
T0_R1_z609770187651124,dusty,musty,1
T0_R1_z609770187651124,dusty,dirty animal / farmyard,0
T0_R1_z609770187651124,dusty,leather,1
T0_R1_z609770187651124,dusty,over-fermented,0
T0_R1_z609770187651124,dusty,rotten fruit,0
T0_R1_z609770187651124,musty,roast degree,0
T0_R1_z609770187651124,musty,fruity,0
T0_R1_z609770187651124,musty,lactic,0
T0_R1_z609770187651124,musty,mineral,0
T0_R1_z609770187651124,musty,mouth-drying,0
T0_R1_z609770187651124,musty,apricot,0
T0_R1_z609770187651124,musty,tropical,0
T0_R1_z609770187651124,musty,dried,0
T0_R1_z609770187651124,musty,floral,0
T0_R1_z609770187651124,musty,dark wood,0
T0_R1_z609770187651124,musty,dusty,1
T0_R1_z609770187651124,musty,musty,0
T0_R1_z609770187651124,musty,dirty animal / farmyard,1
T0_R1_z609770187651124,musty,leather,0
T0_R1_z609770187651124,musty,over-fermented,0
T0_R1_z609770187651124,musty,rotten fruit,0
T0_R1_z609770187651124,dirty animal / farmyard,roast degree,0
T0_R1_z609770187651124,dirty animal / farmyard,fruity,0
T0_R1_z609770187651124,dirty animal / farmyard,lactic,1
T0_R1_z609770187651124,dirty animal / farmyard,mineral,0
T0_R1_z609770187651124,dirty animal / farmyard,mouth-drying,0
T0_R1_z609770187651124,dirty animal / farmyard,apricot,0
T0_R1_z609770187651124,dirty animal / farmyard,tropical,0
T0_R1_z609770187651124,dirty animal / farmyard,dried,0
T0_R1_z609770187651124,dirty animal / farmyard,floral,0
T0_R1_z609770187651124,dirty animal / farmyard,dark wood,0
T0_R1_z609770187651124,dirty animal / farmyard,dusty,0
T0_R1_z609770187651124,dirty animal / farmyard,musty,1
T0_R1_z609770187651124,dirty animal / farmyard,dirty animal / farmyard,0
T0_R1_z609770187651124,dirty animal / farmyard,leather,1
T0_R1_z609770187651124,dirty animal / farmyard,over-fermented,0
T0_R1_z609770187651124,dirty animal / farmyard,rotten fruit,0
T0_R1_z609770187651124,leather,roast degree,0
T0_R1_z609770187651124,leather,fruity,0
T0_R1_z609770187651124,leather,lactic,0
T0_R1_z609770187651124,leather,mineral,0
T0_R1_z609770187651124,leather,mouth-drying,0
T0_R1_z609770187651124,leather,apricot,0
T0_R1_z609770187651124,leather,tropical,0
T0_R1_z609770187651124,leather,dried,0
T0_R1_z609770187651124,leather,floral,0
T0_R1_z609770187651124,leather,dark wood,0
T0_R1_z609770187651124,leather,dusty,1
T0_R1_z609770187651124,leather,musty,0
T0_R1_z609770187651124,leather,dirty animal / farmyard,1
T0_R1_z609770187651124,leather,leather,0
T0_R1_z609770187651124,leather,over-fermented,0
T0_R1_z609770187651124,leather,rotten fruit,0
T0_R1_z609770187651124,over-fermented,roast degree,0
T0_R1_z609770187651124,over-fermented,fruity,0
T0_R1_z609770187651124,over-fermented,lactic,0
T0_R1_z609770187651124,over-fermented,mineral,0
T0_R1_z609770187651124,over-fermented,mouth-drying,1
T0_R1_z609770187651124,over-fermented,apricot,0
T0_R1_z609770187651124,over-fermented,tropical,0
T0_R1_z609770187651124,over-fermented,dried,0
T0_R1_z609770187651124,over-fermented,floral,0
T0_R1_z609770187651124,over-fermented,dark wood,0
T0_R1_z609770187651124,over-fermented,dusty,0
T0_R1_z609770187651124,over-fermented,musty,0
T0_R1_z609770187651124,over-fermented,dirty animal / farmyard,0
T0_R1_z609770187651124,over-fermented,leather,0
T0_R1_z609770187651124,over-fermented,over-fermented,0
T0_R1_z609770187651124,over-fermented,rotten fruit,1
T0_R1_z609770187651124,rotten fruit,roast degree,0
T0_R1_z609770187651124,rotten fruit,fruity,0
T0_R1_z609770187651124,rotten fruit,lactic,0
T0_R1_z609770187651124,rotten fruit,mineral,0
T0_R1_z609770187651124,rotten fruit,mouth-drying,0
T0_R1_z609770187651124,rotten fruit,apricot,0
T0_R1_z609770187651124,rotten fruit,tropical,0
T0_R1_z609770187651124,rotten fruit,dried,0
T0_R1_z609770187651124,rotten fruit,floral,0
T0_R1_z609770187651124,rotten fruit,dark wood,0
T0_R1_z609770187651124,rotten fruit,dusty,0
T0_R1_z609770187651124,rotten fruit,musty,0
T0_R1_z609770187651124,rotten fruit,dirty animal / farmyard,0
T0_R1_z609770187651124,rotten fruit,leather,0
T0_R1_z609770187651124,rotten fruit,over-fermented,1
T0_R1_z609770187651124,rotten fruit,rotten fruit,0
T0_R2_z609770187651124,berry,berry,0
T0_R2_z609770187651124,berry,citrus,1
T0_R2_z609770187651124,berry,tropical,1
T0_R2_z609770187651124,berry,brown,0
T0_R2_z609770187651124,berry,mushroom,0
T0_R2_z609770187651124,berry,flowers,1
T0_R2_z609770187651124,berry,resin,0
T0_R2_z609770187651124,berry,dark wood,0
T0_R2_z609770187651124,berry,spice,0
T0_R2_z609770187651124,berry,spices,0
T0_R2_z609770187651124,berry,nut flesh,1
T0_R2_z609770187651124,berry,caramel,0
T0_R2_z609770187651124,berry,brown sugar,0
T0_R2_z609770187651124,berry,dirty,0
T0_R2_z609770187651124,berry,rotten fruit,0
T0_R2_z609770187651124,berry,putrid,0
T0_R2_z609770187651124,citrus,berry,1
T0_R2_z609770187651124,citrus,citrus,0
T0_R2_z609770187651124,citrus,tropical,0
T0_R2_z609770187651124,citrus,brown,0
T0_R2_z609770187651124,citrus,mushroom,0
T0_R2_z609770187651124,citrus,flowers,0
T0_R2_z609770187651124,citrus,resin,0
T0_R2_z609770187651124,citrus,dark wood,0
T0_R2_z609770187651124,citrus,spice,0
T0_R2_z609770187651124,citrus,spices,1
T0_R2_z609770187651124,citrus,nut flesh,0
T0_R2_z609770187651124,citrus,caramel,0
T0_R2_z609770187651124,citrus,brown sugar,0
T0_R2_z609770187651124,citrus,dirty,0
T0_R2_z609770187651124,citrus,rotten fruit,0
T0_R2_z609770187651124,citrus,putrid,0
T0_R2_z609770187651124,tropical,berry,1
T0_R2_z609770187651124,tropical,citrus,0
T0_R2_z609770187651124,tropical,tropical,0
T0_R2_z609770187651124,tropical,brown,1
T0_R2_z609770187651124,tropical,mushroom,0
T0_R2_z609770187651124,tropical,flowers,1
T0_R2_z609770187651124,tropical,resin,0
T0_R2_z609770187651124,tropical,dark wood,0
T0_R2_z609770187651124,tropical,spice,1
T0_R2_z609770187651124,tropical,spices,1
T0_R2_z609770187651124,tropical,nut flesh,0
T0_R2_z609770187651124,tropical,caramel,0
T0_R2_z609770187651124,tropical,brown sugar,0
T0_R2_z609770187651124,tropical,dirty,0
T0_R2_z609770187651124,tropical,rotten fruit,0
T0_R2_z609770187651124,tropical,putrid,0
T0_R2_z609770187651124,brown,berry,0
T0_R2_z609770187651124,brown,citrus,0
T0_R2_z609770187651124,brown,tropical,1
T0_R2_z609770187651124,brown,brown,0
T0_R2_z609770187651124,brown,mushroom,1
T0_R2_z609770187651124,brown,flowers,0
T0_R2_z609770187651124,brown,resin,0
T0_R2_z609770187651124,brown,dark wood,1
T0_R2_z609770187651124,brown,spice,0
T0_R2_z609770187651124,brown,spices,1
T0_R2_z609770187651124,brown,nut flesh,0
T0_R2_z609770187651124,brown,caramel,1
T0_R2_z609770187651124,brown,brown sugar,0
T0_R2_z609770187651124,brown,dirty,0
T0_R2_z609770187651124,brown,rotten fruit,0
T0_R2_z609770187651124,brown,putrid,0
T0_R2_z609770187651124,mushroom,berry,0
T0_R2_z609770187651124,mushroom,citrus,0
T0_R2_z609770187651124,mushroom,tropical,0
T0_R2_z609770187651124,mushroom,brown,1
T0_R2_z609770187651124,mushroom,mushroom,0
T0_R2_z609770187651124,mushroom,flowers,0
T0_R2_z609770187651124,mushroom,resin,0
T0_R2_z609770187651124,mushroom,dark wood,0
T0_R2_z609770187651124,mushroom,spice,0
T0_R2_z609770187651124,mushroom,spices,1
T0_R2_z609770187651124,mushroom,nut flesh,0
T0_R2_z609770187651124,mushroom,caramel,0
T0_R2_z609770187651124,mushroom,brown sugar,0
T0_R2_z609770187651124,mushroom,dirty,1
T0_R2_z609770187651124,mushroom,rotten fruit,0
T0_R2_z609770187651124,mushroom,putrid,0
T0_R2_z609770187651124,flowers,berry,1
T0_R2_z609770187651124,flowers,citrus,0
T0_R2_z609770187651124,flowers,tropical,1
T0_R2_z609770187651124,flowers,brown,0
T0_R2_z609770187651124,flowers,mushroom,0
T0_R2_z609770187651124,flowers,flowers,0
T0_R2_z609770187651124,flowers,resin,1
T0_R2_z609770187651124,flowers,dark wood,0
T0_R2_z609770187651124,flowers,spice,0
T0_R2_z609770187651124,flowers,spices,1
T0_R2_z609770187651124,flowers,nut flesh,0
T0_R2_z609770187651124,flowers,caramel,0
T0_R2_z609770187651124,flowers,brown sugar,0
T0_R2_z609770187651124,flowers,dirty,0
T0_R2_z609770187651124,flowers,rotten fruit,0
T0_R2_z609770187651124,flowers,putrid,0
T0_R2_z609770187651124,resin,berry,0
T0_R2_z609770187651124,resin,citrus,0
T0_R2_z609770187651124,resin,tropical,0
T0_R2_z609770187651124,resin,brown,0
T0_R2_z609770187651124,resin,mushroom,0
T0_R2_z609770187651124,resin,flowers,1
T0_R2_z609770187651124,resin,resin,0
T0_R2_z609770187651124,resin,dark wood,1
T0_R2_z609770187651124,resin,spice,0
T0_R2_z609770187651124,resin,spices,0
T0_R2_z609770187651124,resin,nut flesh,0
T0_R2_z609770187651124,resin,caramel,0
T0_R2_z609770187651124,resin,brown sugar,0
T0_R2_z609770187651124,resin,dirty,0
T0_R2_z609770187651124,resin,rotten fruit,0
T0_R2_z609770187651124,resin,putrid,0
T0_R2_z609770187651124,dark wood,berry,0
T0_R2_z609770187651124,dark wood,citrus,0
T0_R2_z609770187651124,dark wood,tropical,0
T0_R2_z609770187651124,dark wood,brown,1
T0_R2_z609770187651124,dark wood,mushroom,0
T0_R2_z609770187651124,dark wood,flowers,0
T0_R2_z609770187651124,dark wood,resin,1
T0_R2_z609770187651124,dark wood,dark wood,0
T0_R2_z609770187651124,dark wood,spice,0
T0_R2_z609770187651124,dark wood,spices,0
T0_R2_z609770187651124,dark wood,nut flesh,1
T0_R2_z609770187651124,dark wood,caramel,0
T0_R2_z609770187651124,dark wood,brown sugar,0
T0_R2_z609770187651124,dark wood,dirty,0
T0_R2_z609770187651124,dark wood,rotten fruit,0
T0_R2_z609770187651124,dark wood,putrid,0
T0_R2_z609770187651124,spice,berry,0
T0_R2_z609770187651124,spice,citrus,0
T0_R2_z609770187651124,spice,tropical,1
T0_R2_z609770187651124,spice,brown,0
T0_R2_z609770187651124,spice,mushroom,0
T0_R2_z609770187651124,spice,flowers,0
T0_R2_z609770187651124,spice,resin,0
T0_R2_z609770187651124,spice,dark wood,0
T0_R2_z609770187651124,spice,spice,0
T0_R2_z609770187651124,spice,spices,0
T0_R2_z609770187651124,spice,nut flesh,1
T0_R2_z609770187651124,spice,caramel,0
T0_R2_z609770187651124,spice,brown sugar,1
T0_R2_z609770187651124,spice,dirty,0
T0_R2_z609770187651124,spice,rotten fruit,0
T0_R2_z609770187651124,spice,putrid,0
T0_R2_z609770187651124,spices,berry,0
T0_R2_z609770187651124,spices,citrus,1
T0_R2_z609770187651124,spices,tropical,1
T0_R2_z609770187651124,spices,brown,1
T0_R2_z609770187651124,spices,mushroom,1
T0_R2_z609770187651124,spices,flowers,1
T0_R2_z609770187651124,spices,resin,0
T0_R2_z609770187651124,spices,dark wood,0
T0_R2_z609770187651124,spices,spice,0
T0_R2_z609770187651124,spices,spices,0
T0_R2_z609770187651124,spices,nut flesh,1
T0_R2_z609770187651124,spices,caramel,1
T0_R2_z609770187651124,spices,brown sugar,1
T0_R2_z609770187651124,spices,dirty,0
T0_R2_z609770187651124,spices,rotten fruit,0
T0_R2_z609770187651124,spices,putrid,0
T0_R2_z609770187651124,nut flesh,berry,1
T0_R2_z609770187651124,nut flesh,citrus,0
T0_R2_z609770187651124,nut flesh,tropical,0
T0_R2_z609770187651124,nut flesh,brown,0
T0_R2_z609770187651124,nut flesh,mushroom,0
T0_R2_z609770187651124,nut flesh,flowers,0
T0_R2_z609770187651124,nut flesh,resin,0
T0_R2_z609770187651124,nut flesh,dark wood,1
T0_R2_z609770187651124,nut flesh,spice,1
T0_R2_z609770187651124,nut flesh,spices,1
T0_R2_z609770187651124,nut flesh,nut flesh,0
T0_R2_z609770187651124,nut flesh,caramel,0
T0_R2_z609770187651124,nut flesh,brown sugar,0
T0_R2_z609770187651124,nut flesh,dirty,0
T0_R2_z609770187651124,nut flesh,rotten fruit,0
T0_R2_z609770187651124,nut flesh,putrid,0
T0_R2_z609770187651124,caramel,berry,0
T0_R2_z609770187651124,caramel,citrus,0
T0_R2_z609770187651124,caramel,tropical,0
T0_R2_z609770187651124,caramel,brown,1
T0_R2_z609770187651124,caramel,mushroom,0
T0_R2_z609770187651124,caramel,flowers,0
T0_R2_z609770187651124,caramel,resin,0
T0_R2_z609770187651124,caramel,dark wood,0
T0_R2_z609770187651124,caramel,spice,0
T0_R2_z609770187651124,caramel,spices,1
T0_R2_z609770187651124,caramel,nut flesh,0
T0_R2_z609770187651124,caramel,caramel,0
T0_R2_z609770187651124,caramel,brown sugar,1
T0_R2_z609770187651124,caramel,dirty,0
T0_R2_z609770187651124,caramel,rotten fruit,0
T0_R2_z609770187651124,caramel,putrid,0
T0_R2_z609770187651124,brown sugar,berry,0
T0_R2_z609770187651124,brown sugar,citrus,0
T0_R2_z609770187651124,brown sugar,tropical,0
T0_R2_z609770187651124,brown sugar,brown,0
T0_R2_z609770187651124,brown sugar,mushroom,0
T0_R2_z609770187651124,brown sugar,flowers,0
T0_R2_z609770187651124,brown sugar,resin,0
T0_R2_z609770187651124,brown sugar,dark wood,0
T0_R2_z609770187651124,brown sugar,spice,1
T0_R2_z609770187651124,brown sugar,spices,1
T0_R2_z609770187651124,brown sugar,nut flesh,0
T0_R2_z609770187651124,brown sugar,caramel,1
T0_R2_z609770187651124,brown sugar,brown sugar,0
T0_R2_z609770187651124,brown sugar,dirty,0
T0_R2_z609770187651124,brown sugar,rotten fruit,0
T0_R2_z609770187651124,brown sugar,putrid,0
T0_R2_z609770187651124,dirty,berry,0
T0_R2_z609770187651124,dirty,citrus,0
T0_R2_z609770187651124,dirty,tropical,0
T0_R2_z609770187651124,dirty,brown,0
T0_R2_z609770187651124,dirty,mushroom,1
T0_R2_z609770187651124,dirty,flowers,0
T0_R2_z609770187651124,dirty,resin,0
T0_R2_z609770187651124,dirty,dark wood,0
T0_R2_z609770187651124,dirty,spice,0
T0_R2_z609770187651124,dirty,spices,0
T0_R2_z609770187651124,dirty,nut flesh,0
T0_R2_z609770187651124,dirty,caramel,0
T0_R2_z609770187651124,dirty,brown sugar,0
T0_R2_z609770187651124,dirty,dirty,0
T0_R2_z609770187651124,dirty,rotten fruit,1
T0_R2_z609770187651124,dirty,putrid,1
T0_R2_z609770187651124,rotten fruit,berry,0
T0_R2_z609770187651124,rotten fruit,citrus,0
T0_R2_z609770187651124,rotten fruit,tropical,0
T0_R2_z609770187651124,rotten fruit,brown,0
T0_R2_z609770187651124,rotten fruit,mushroom,0
T0_R2_z609770187651124,rotten fruit,flowers,0
T0_R2_z609770187651124,rotten fruit,resin,0
T0_R2_z609770187651124,rotten fruit,dark wood,0
T0_R2_z609770187651124,rotten fruit,spice,0
T0_R2_z609770187651124,rotten fruit,spices,0
T0_R2_z609770187651124,rotten fruit,nut flesh,0
T0_R2_z609770187651124,rotten fruit,caramel,0
T0_R2_z609770187651124,rotten fruit,brown sugar,0
T0_R2_z609770187651124,rotten fruit,dirty,1
T0_R2_z609770187651124,rotten fruit,rotten fruit,0
T0_R2_z609770187651124,rotten fruit,putrid,1
T0_R2_z609770187651124,putrid,berry,0
T0_R2_z609770187651124,putrid,citrus,0
T0_R2_z609770187651124,putrid,tropical,0
T0_R2_z609770187651124,putrid,brown,0
T0_R2_z609770187651124,putrid,mushroom,0
T0_R2_z609770187651124,putrid,flowers,0
T0_R2_z609770187651124,putrid,resin,0
T0_R2_z609770187651124,putrid,dark wood,0
T0_R2_z609770187651124,putrid,spice,0
T0_R2_z609770187651124,putrid,spices,0
T0_R2_z609770187651124,putrid,nut flesh,0
T0_R2_z609770187651124,putrid,caramel,0
T0_R2_z609770187651124,putrid,brown sugar,0
T0_R2_z609770187651124,putrid,dirty,1
T0_R2_z609770187651124,putrid,rotten fruit,1
T0_R2_z609770187651124,putrid,putrid,0
T0_R3_z609770187651124,roast degree,roast degree,0
T0_R3_z609770187651124,roast degree,bitterness,1
T0_R3_z609770187651124,roast degree,fresh fruit,0
T0_R3_z609770187651124,roast degree,berry,0
T0_R3_z609770187651124,roast degree,cherry / plum,0
T0_R3_z609770187651124,roast degree,peach,0
T0_R3_z609770187651124,roast degree,green vegetal,0
T0_R3_z609770187651124,roast degree,herbal,0
T0_R3_z609770187651124,roast degree,orange blossom,0
T0_R3_z609770187651124,roast degree,flowers,0
T0_R3_z609770187651124,roast degree,dark wood,1
T0_R3_z609770187651124,roast degree,caramelized sugar,1
T0_R3_z609770187651124,roast degree,panela,0
T0_R3_z609770187651124,roast degree,sweetness,0
T0_R3_z609770187651124,roast degree,dusty,1
T0_R3_z609770187651124,roast degree,smoky,1
T0_R3_z609770187651124,bitterness,roast degree,1
T0_R3_z609770187651124,bitterness,bitterness,0
T0_R3_z609770187651124,bitterness,fresh fruit,0
T0_R3_z609770187651124,bitterness,berry,1
T0_R3_z609770187651124,bitterness,cherry / plum,0
T0_R3_z609770187651124,bitterness,peach,0
T0_R3_z609770187651124,bitterness,green vegetal,0
T0_R3_z609770187651124,bitterness,herbal,1
T0_R3_z609770187651124,bitterness,orange blossom,0
T0_R3_z609770187651124,bitterness,flowers,0
T0_R3_z609770187651124,bitterness,dark wood,0
T0_R3_z609770187651124,bitterness,caramelized sugar,0
T0_R3_z609770187651124,bitterness,panela,0
T0_R3_z609770187651124,bitterness,sweetness,0
T0_R3_z609770187651124,bitterness,dusty,0
T0_R3_z609770187651124,bitterness,smoky,1
T0_R3_z609770187651124,fresh fruit,roast degree,0
T0_R3_z609770187651124,fresh fruit,bitterness,0
T0_R3_z609770187651124,fresh fruit,fresh fruit,0
T0_R3_z609770187651124,fresh fruit,berry,1
T0_R3_z609770187651124,fresh fruit,cherry / plum,1
T0_R3_z609770187651124,fresh fruit,peach,1
T0_R3_z609770187651124,fresh fruit,green vegetal,1
T0_R3_z609770187651124,fresh fruit,herbal,0
T0_R3_z609770187651124,fresh fruit,orange blossom,0
T0_R3_z609770187651124,fresh fruit,flowers,1
T0_R3_z609770187651124,fresh fruit,dark wood,0
T0_R3_z609770187651124,fresh fruit,caramelized sugar,0
T0_R3_z609770187651124,fresh fruit,panela,0
T0_R3_z609770187651124,fresh fruit,sweetness,1
T0_R3_z609770187651124,fresh fruit,dusty,0
T0_R3_z609770187651124,fresh fruit,smoky,0
T0_R3_z609770187651124,berry,roast degree,0
T0_R3_z609770187651124,berry,bitterness,1
T0_R3_z609770187651124,berry,fresh fruit,1
T0_R3_z609770187651124,berry,berry,0
T0_R3_z609770187651124,berry,cherry / plum,1
T0_R3_z609770187651124,berry,peach,1
T0_R3_z609770187651124,berry,green vegetal,0
T0_R3_z609770187651124,berry,herbal,0
T0_R3_z609770187651124,berry,orange blossom,0
T0_R3_z609770187651124,berry,flowers,0
T0_R3_z609770187651124,berry,dark wood,0
T0_R3_z609770187651124,berry,caramelized sugar,0
T0_R3_z609770187651124,berry,panela,0
T0_R3_z609770187651124,berry,sweetness,1
T0_R3_z609770187651124,berry,dusty,0
T0_R3_z609770187651124,berry,smoky,0
T0_R3_z609770187651124,cherry / plum,roast degree,0
T0_R3_z609770187651124,cherry / plum,bitterness,0
