sample_set,from,to,presence
J5,Milk_Green & Black's_34,Dark_Pascha_85,0
J5,Milk_Green & Black's_34,Dark_Endangered Species_72,0
J5,Milk_Green & Black's_34,Dark_Green & Black's_70,0
J5,Milk_Green & Black's_34,Dark_Green & Black's_85,0
J5,Milk_Endangered Species_48,Milk_Cadbury_26?,0
J5,Milk_Endangered Species_48,Milk_Hershey's _30?,1
J5,Milk_Endangered Species_48,Milk_Green & Black's_34,0
J5,Milk_Endangered Species_48,Milk_Endangered Species_48,1
J5,Milk_Endangered Species_48,Dark_Hershey's _45?,1
J5,Milk_Endangered Species_48,Dark_Cadbury_35?,0
J5,Milk_Endangered Species_48,Dark_Pascha_85,0
J5,Milk_Endangered Species_48,Dark_Endangered Species_72,0
J5,Milk_Endangered Species_48,Dark_Green & Black's_70,0
J5,Milk_Endangered Species_48,Dark_Green & Black's_85,0
J5,Dark_Hershey's _45?,Milk_Cadbury_26?,0
J5,Dark_Hershey's _45?,Milk_Hershey's _30?,1
J5,Dark_Hershey's _45?,Milk_Green & Black's_34,0
J5,Dark_Hershey's _45?,Milk_Endangered Species_48,1
J5,Dark_Hershey's _45?,Dark_Hershey's _45?,1
J5,Dark_Hershey's _45?,Dark_Cadbury_35?,0
J5,Dark_Hershey's _45?,Dark_Pascha_85,0
J5,Dark_Hershey's _45?,Dark_Endangered Species_72,0
J5,Dark_Hershey's _45?,Dark_Green & Black's_70,0
J5,Dark_Hershey's _45?,Dark_Green & Black's_85,0
J5,Dark_Cadbury_35?,Milk_Cadbury_26?,0
J5,Dark_Cadbury_35?,Milk_Hershey's _30?,0
J5,Dark_Cadbury_35?,Milk_Green & Black's_34,0
J5,Dark_Cadbury_35?,Milk_Endangered Species_48,0
